# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.entities.ms,1774241936570000000,1774241996570000000,2
jps.modifiable.module.model.bridge.load.module.ms,1774241936570000000,1774241996570000000,0
jps.library.entities.serializer.save.entities.ms,1774241936570000000,1774241996570000000,0
jps.global.initialize.library.bridges.ms,1774241936570000000,1774241996570000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1774241936570000000,1774241996570000000,1
workspaceModel.global.apply.state.to.project.ms,1774241936570000000,1774241996570000000,5
workspaceModel.delayed.project.synchronizer.sync.ms,1774241936570000000,1774241996570000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1774241936570000000,1774241996570000000,2
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1774241936570000000,1774241996570000000,4
workspaceModel.moduleBridge.facet.initialization.ms,1774241936570000000,1774241996570000000,0
jps.facet.change.listener.process.change.events.ms,1774241936570000000,1774241996570000000,0
jps.load.initial.state.ms,1774241936570000000,1774241996570000000,13
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1774241936570000000,1774241996570000000,0
jps.project.serializers.save.ms,1774241936570000000,1774241996570000000,0
workspaceModel.load.cache.from.file.ms,1774241936570000000,1774241996570000000,0
jps.modifiable.module.model.bridge.renaming.ms,1774241936570000000,1774241996570000000,0
jps.save.changed.project.entities.ms,1774241936570000000,1774241996570000000,0
jps.global.get.library.by.name.ms,1774241936570000000,1774241996570000000,0
workspaceModel.global.updates.count,1774241936570000000,1774241996570000000,1
workspaceModel.moduleBridge.before.changed.ms,1774241936570000000,1774241996570000000,0
